tenure_months,monthly_charges,total_charges,num_products,support_calls,payment_delay_days,contract_type,internet_service,online_security,tech_support,churn
8,22.05,176.45,4,7,18,0,2,0,0,1
69,96.41,6982.95,2,1,8,2,1,0,0,0
27,40.58,1083.53,4,1,2,0,1,0,0,0
70,62.86,4250.07,3,7,28,1,0,1,0,0
3,48.47,148.74,1,4,12,2,0,0,0,0
12,93.05,1121.56,5,9,17,2,2,1,1,0
11,20.95,226.71,4,9,24,1,1,0,1,0
23,37.61,878.1,5,5,2,2,1,1,1,0
29,78.04,2251.26,2,2,19,1,0,1,0,0
61,43.99,2637.26,4,5,25,0,1,1,1,0
70,23.52,1718.19,2,2,3,0,1,0,0,0
8,85.17,693.81,4,1,2,1,2,0,0,0
54,87.56,4911.87,2,8,26,0,0,0,0,0
54,73.14,4099.01,5,8,11,0,0,0,1,0
57,76.64,4184.98,2,2,9,1,1,1,0,0
56,70.73,4054.14,3,8,22,2,2,0,1,0
36,57.84,2147.83,2,9,17,0,1,1,0,0
7,52.25,371.66,3,6,17,2,2,0,0,0
47,27.03,1209.53,1,1,7,2,0,0,0,0
46,64.03,2853.81,2,5,30,0,2,0,1,0
54,68.87,3833.91,4,3,8,1,0,1,1,0
46,88.29,4071.29,2,1,25,1,2,1,0,0
7,87.98,596.55,5,8,16,1,2,0,0,1
69,51.28,3499.35,2,4,5,1,2,1,1,0
52,72.7,3636.23,4,9,14,1,2,0,1,0
20,106.14,2228.75,3,6,5,0,1,1,0,0
8,93.49,710.89,5,0,21,0,2,0,1,1
58,54.45,3061.97,2,7,18,2,0,1,0,0
32,85.14,2669.76,4,2,17,2,1,0,1,0
63,29.83,1858.67,5,9,1,1,0,1,1,0
38,95.44,3716.24,2,4,13,2,2,1,1,0
39,91.14,3587.19,2,0,1,1,2,1,0,0
32,114.45,3719.34,4,6,24,1,2,0,0,0
56,103.72,5739.62,2,5,26,0,2,0,0,0
56,117.42,6602.25,2,0,14,0,1,0,1,0
37,62.0,2277.66,2,6,23,1,2,0,1,0
40,82.61,3253.08,1,1,7,1,0,0,1,0
49,59.0,2977.0,1,1,3,1,0,0,1,0
25,44.67,1109.57,5,2,27,1,1,1,1,0
8,35.95,275.86,1,5,3,2,2,1,1,0
33,63.38,2027.64,5,2,10,0,1,0,1,0
47,97.76,4729.61,5,9,16,1,0,0,1,0
51,113.34,5884.93,1,9,13,2,0,0,1,0
50,70.68,3478.72,3,5,3,2,2,0,0,0
33,97.79,3144.05,4,9,26,1,0,1,0,0
50,45.68,2343.24,1,8,22,0,2,1,0,0
40,102.74,4011.03,3,0,15,1,0,0,1,0
20,86.89,1784.67,1,9,13,1,1,1,1,0
57,115.2,6828.46,5,9,25,0,2,0,1,0
32,75.69,2377.89,2,5,19,1,2,0,0,0
22,80.43,1767.65,1,5,10,2,2,1,1,0
9,54.22,502.78,3,4,9,0,1,1,1,0
55,41.01,2358.2,1,4,19,2,2,0,1,0
64,26.38,1664.24,2,1,26,1,1,0,0,0
5,110.16,530.2,2,8,24,2,1,1,0,1
30,43.84,1340.62,5,1,30,0,0,1,1,0
70,27.72,1905.89,5,7,22,1,2,0,0,0
12,55.77,659.07,3,5,18,0,2,1,1,0
10,51.78,510.12,4,7,20,1,1,1,0,1
30,31.15,947.44,5,5,9,1,0,1,0,0
3,71.37,214.22,5,2,19,2,1,0,0,0
52,90.88,4560.96,4,6,12,2,0,1,0,0
31,26.87,799.81,3,5,7,1,2,0,0,0
37,48.57,1742.07,1,5,10,2,2,0,0,0
20,85.22,1625.69,4,5,19,2,0,1,1,0
33,30.14,971.05,3,9,9,2,0,0,0,0
60,109.43,6442.03,3,2,0,0,0,0,0,0
34,32.03,1096.02,5,7,28,2,1,0,1,0
10,52.48,515.32,2,1,21,2,1,1,0,0
63,91.62,5796.87,5,1,12,0,2,1,1,0
10,98.02,999.17,3,2,25,0,2,1,1,0
15,23.1,339.58,2,0,5,2,2,1,1,0
4,70.76,284.03,3,8,18,0,0,0,0,1
6,118.07,720.81,3,1,22,1,0,0,0,1
40,56.73,2202.1,1,6,18,2,2,0,0,0
53,24.72,1277.5,3,7,20,0,0,0,1,0
11,96.67,1108.45,1,2,14,2,2,1,0,0
30,33.49,1052.8,1,0,27,0,1,1,0,0
34,52.6,1874.0,5,4,0,1,0,1,0,0
39,95.69,3573.93,5,6,2,1,2,0,0,0
52,28.05,1428.35,1,6,20,1,0,1,0,0
12,35.27,435.46,4,4,15,2,0,1,1,0
1,21.76,22.83,5,7,27,2,1,0,1,0
53,48.74,2625.38,1,9,27,1,2,0,1,0
20,110.93,2304.26,2,5,19,2,0,1,1,0
56,115.4,6371.62,2,4,6,2,2,0,1,0
23,116.51,2580.86,5,6,9,0,1,1,1,0
27,49.3,1328.85,4,0,18,0,1,0,0,0
14,109.55,1474.91,3,5,28,2,0,1,0,0
2,30.95,61.22,4,0,18,1,2,1,1,0
41,95.95,3858.28,5,8,14,0,0,0,1,0
52,99.58,5147.56,5,1,21,1,0,0,0,0
60,105.31,6541.32,2,8,13,2,1,0,0,0
5,101.29,531.25,3,4,6,0,2,1,0,1
2,102.54,194.96,5,3,4,0,0,0,0,1
29,70.6,2002.34,4,4,28,0,2,1,1,0
41,55.5,2361.37,2,9,1,1,1,1,1,0
10,24.9,254.83,2,0,3,0,2,1,1,0
18,51.72,964.53,5,8,21,2,0,0,1,0
45,55.84,2388.63,2,4,17,0,2,0,0,0
46,113.31,5117.34,2,3,25,2,0,0,0,0
50,27.82,1348.37,4,2,27,1,1,1,0,0
32,55.85,1765.35,3,1,24,2,2,0,1,0
41,90.05,3724.11,3,8,17,0,1,1,0,0
47,88.48,4089.33,1,7,5,0,2,0,1,0
46,22.8,1089.35,4,5,18,0,0,1,1,0
50,80.84,3868.2,3,8,15,0,1,0,1,0
21,84.88,1822.68,4,3,26,0,1,0,1,0
27,87.14,2449.71,3,1,12,0,1,1,1,0
32,56.64,1756.31,1,4,16,1,2,0,1,0
10,104.29,1025.21,5,9,17,0,2,1,1,0
52,69.54,3487.75,1,6,1,1,1,1,0,0
65,82.41,5505.05,1,7,24,2,1,1,1,0
37,91.97,3526.53,5,8,30,1,1,1,1,0
40,84.67,3536.7,4,2,17,1,2,0,1,0
20,66.67,1283.53,5,5,17,0,0,1,0,0
36,99.23,3516.54,2,5,27,1,0,1,0,0
48,74.39,3686.12,3,0,23,2,1,0,0,0
19,25.65,468.3,1,1,10,2,0,0,1,0
60,119.22,6928.8,5,2,3,0,1,0,1,0
51,100.68,5134.52,5,6,12,2,2,1,0,0
15,67.44,1057.09,3,6,3,2,0,0,1,0
3,35.29,108.2,5,0,28,2,0,1,0,0
33,59.72,1978.79,4,4,25,1,0,1,1,0
12,91.64,1079.09,5,5,23,0,1,0,0,1
33,54.65,1800.75,2,1,3,2,0,0,1,0
63,23.49,1477.19,5,4,5,0,1,0,0,0
13,81.1,1095.37,2,0,7,0,0,0,0,0
68,29.91,2014.16,2,2,12,0,0,1,1,0
62,90.16,5832.67,1,4,24,2,0,1,1,0
54,110.51,5710.47,4,4,27,2,0,1,1,0
52,89.19,4663.69,3,7,19,1,0,1,0,0
11,63.78,707.01,1,6,7,2,2,1,1,0
4,49.82,198.69,2,2,11,2,2,0,0,0
1,86.18,86.77,5,8,27,2,0,0,0,1
4,55.18,220.7,3,3,23,0,1,1,0,1
25,114.2,2961.56,3,4,1,1,0,0,1,0
1,33.65,32.06,2,8,15,1,1,0,1,0
1,86.85,90.6,1,1,25,0,1,0,0,1
63,34.77,2099.14,4,7,6,1,0,1,1,0
22,89.05,1930.92,5,1,21,0,0,1,0,0
46,76.48,3442.21,2,9,3,1,1,0,1,0
29,119.91,3436.34,3,8,13,1,0,0,1,0
38,64.95,2436.69,4,7,27,0,1,1,1,0
60,57.29,3469.69,2,2,20,2,1,0,0,0
15,48.94,767.18,5,4,19,2,0,1,0,0
45,70.0,3162.51,5,5,28,2,1,0,1,0
64,75.11,4956.18,2,5,3,2,2,1,0,0
9,92.29,809.28,2,3,19,1,0,0,0,1
63,22.67,1397.67,3,1,4,0,2,1,0,0
58,21.52,1220.8,1,3,22,0,1,1,0,0
26,117.41,3157.38,3,2,21,2,0,0,0,0
22,94.13,2084.79,3,8,27,2,1,1,1,0
12,87.62,1090.24,5,1,1,1,0,1,0,0
43,66.63,2905.31,2,1,15,2,1,1,0,0
72,96.03,7213.2,2,7,29,0,0,1,1,0
7,41.31,279.14,5,7,24,1,0,0,0,1
21,90.56,1930.14,3,6,3,1,0,0,0,0
49,66.0,3314.14,5,1,8,2,1,0,1,0
11,83.22,931.19,3,0,27,1,0,1,0,1
71,36.68,2561.84,4,9,8,2,0,0,1,0
72,72.82,5027.15,5,4,23,1,0,0,1,0
26,93.86,2532.12,1,8,3,0,2,0,0,0
19,112.57,2106.13,1,3,9,1,0,1,1,0
8,103.14,852.05,1,7,20,2,2,0,0,0
31,26.8,812.52,3,7,15,0,0,0,1,0
47,48.58,2382.83,3,0,19,2,2,1,1,0
23,50.27,1121.24,2,3,27,2,2,1,1,0
18,62.55,1110.67,1,6,7,0,2,0,0,0
30,90.35,2616.34,3,4,25,0,1,1,0,0
70,65.25,4351.85,3,9,2,1,0,1,0,0
33,90.92,2866.33,3,6,4,1,1,1,0,0
13,81.16,1051.81,2,3,24,0,2,0,0,1
52,42.28,2152.81,1,9,27,1,0,1,1,0
40,94.77,3610.57,1,9,8,0,1,0,1,0
25,75.14,1794.3,3,4,0,0,2,1,0,0
8,72.71,585.33,5,0,10,2,1,1,1,0
7,88.18,606.77,4,3,3,0,1,0,0,1
55,43.71,2499.12,4,6,15,0,1,1,1,0
25,40.57,1061.03,4,7,1,2,2,0,1,0
2,52.52,107.63,5,6,21,2,2,1,1,0
9,59.15,547.56,4,8,13,1,2,0,1,0
49,60.3,2849.89,1,5,29,2,0,0,0,0
18,91.08,1607.24,3,2,12,2,1,1,0,0
41,32.6,1382.1,1,3,15,1,0,0,0,0
64,101.98,6235.24,1,6,23,2,0,0,0,0
60,56.1,3346.06,2,7,2,1,2,0,1,0
30,45.05,1374.85,5,5,28,2,1,1,0,0
47,73.84,3489.67,3,2,17,1,2,1,1,0
9,29.18,259.51,4,0,9,0,1,1,1,0
60,66.91,3887.69,3,2,21,1,1,1,0,0
72,33.13,2373.45,2,1,16,1,0,0,1,0
38,107.62,3915.72,3,3,12,1,2,1,1,0
67,61.73,4330.64,3,7,10,2,1,0,1,0
44,70.17,3091.89,5,8,12,2,0,0,1,0
44,88.81,3998.82,2,6,23,0,2,0,1,0
49,52.21,2510.78,5,2,17,1,2,0,1,0
55,106.85,5996.28,4,9,10,1,0,1,1,0
32,62.76,1982.63,5,0,13,0,0,1,1,0
21,66.15,1326.23,4,6,26,2,2,1,1,0
63,70.72,4642.52,5,9,18,2,2,0,1,0
23,112.42,2513.6,2,0,3,1,1,0,1,0
24,56.64,1317.78,2,5,7,1,1,1,0,0
62,73.1,4355.64,4,2,19,0,2,1,1,0
13,51.13,654.44,4,6,12,0,0,1,1,1
45,21.67,950.37,1,1,3,2,2,1,1,0
21,61.06,1336.99,4,5,30,2,2,1,1,0
35,92.36,3343.29,4,0,4,0,1,1,1,0
61,81.37,5111.29,4,9,30,1,1,0,1,0
50,80.35,4197.31,5,0,9,0,2,1,0,0
14,86.62,1207.97,2,6,6,2,1,0,0,0
17,35.71,634.73,2,3,23,0,1,1,0,0
